iter	Passed	Remaining
0	11	2337
1	22	2223
2	36	2381
3	47	2323
4	58	2281
5	72	2347
6	84	2328
7	95	2303
8	107	2281
9	118	2256
10	129	2223
11	143	2249
12	154	2218
13	165	2199
14	177	2184
15	188	2169
16	200	2153
17	211	2135
18	222	2120
19	233	2104
20	244	2086
21	258	2087
22	270	2080
23	283	2077
24	294	2062
25	305	2045
26	317	2033
27	328	2016
28	338	1997
29	348	1976
30	359	1962
31	371	1950
32	382	1934
33	394	1924
34	405	1911
35	416	1897
36	427	1884
37	437	1867
38	449	1855
39	460	1841
40	471	1830
41	483	1818
42	494	1805
43	506	1795
44	517	1783
45	528	1770
46	540	1758
47	551	1745
48	562	1733
49	573	1721
50	585	1710
51	596	1696
52	607	1684
53	618	1672
54	629	1659
55	640	1646
56	651	1634
57	662	1622
58	673	1610
59	685	1598
60	695	1584
61	706	1571
62	717	1560
63	728	1548
64	739	1535
65	751	1525
66	762	1514
67	774	1503
68	786	1493
69	798	1482
70	809	1470
71	820	1458
72	831	1446
73	843	1435
74	855	1425
75	867	1415
76	877	1402
77	889	1390
78	900	1379
79	911	1367
80	922	1355
81	934	1344
82	945	1332
83	956	1320
84	967	1308
85	978	1296
86	989	1285
87	1000	1273
88	1011	1261
89	1022	1249
90	1032	1237
91	1044	1225
92	1055	1214
93	1066	1202
94	1077	1190
95	1088	1178
96	1098	1166
97	1109	1154
98	1120	1143
99	1131	1131
100	1142	1119
101	1153	1107
102	1165	1097
103	1177	1087
104	1188	1075
105	1200	1064
106	1211	1053
107	1223	1042
108	1235	1031
109	1249	1021
110	1260	1010
111	1271	998
112	1282	987
113	1294	976
114	1305	965
115	1317	953
116	1328	942
117	1340	931
118	1351	920
119	1362	908
120	1374	897
121	1385	885
122	1396	874
123	1408	863
124	1420	852
125	1432	841
126	1444	830
127	1455	818
128	1466	806
129	1477	795
130	1488	783
131	1499	772
132	1511	761
133	1523	750
134	1534	738
135	1545	727
136	1556	715
137	1568	704
138	1579	693
139	1591	682
140	1602	670
141	1614	659
142	1626	648
143	1637	636
144	1648	625
145	1659	613
146	1670	602
147	1682	591
148	1693	579
149	1704	568
150	1714	556
151	1726	545
152	1737	533
153	1748	522
154	1759	510
155	1770	499
156	1781	488
157	1793	476
158	1805	465
159	1817	454
160	1829	443
161	1840	431
162	1851	420
163	1861	408
164	1873	397
165	1884	386
166	1896	374
167	1908	363
168	1918	351
169	1933	341
170	1951	330
171	1963	319
172	1975	308
173	1986	296
174	1997	285
175	2008	273
176	2019	262
177	2031	251
178	2042	239
179	2053	228
180	2065	216
181	2077	205
182	2091	194
183	2103	182
184	2115	171
185	2128	160
186	2141	148
187	2153	137
188	2165	126
189	2176	114
190	2188	103
191	2200	91
192	2211	80
193	2223	68
194	2234	57
195	2246	45
196	2257	34
197	2269	22
198	2280	11
199	2291	0
